"HostName","DisplayName","Name","State","UserName","InstallDate","Started","Status","ProcessId","PathName","Error"
"DC-SRV01","Wired AutoConfig","dot3svc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Diagnostic Policy Service","DPS","Running",,,"True","OK","1824","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p",
"DC-SRV01","Device Setup Manager","DsmSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","DS Role Server","DsRoleSvc","Stopped",,,"False","OK","0","C:\Windows\System32\lsass.exe",
"DC-SRV01","Data Sharing Service","DsSvc","Running",,,"True","OK","480","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Extensible Authentication Protocol","EapHost","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Microsoft Edge Update Service (edgeupdate)","edgeupdate","Running",,,"True","OK","5392","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc",
"DC-SRV01","Microsoft Edge Update Service (edgeupdatem)","edgeupdatem","Stopped",,,"False","OK","0","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc",
"DC-SRV01","Encrypting File System (EFS)","EFS","Stopped",,,"False","OK","0","C:\Windows\System32\lsass.exe",
"DC-SRV01","Embedded Mode","embeddedmode","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Enterprise App Management Service","EntAppSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k appmodel -p",
"DC-SRV01","Windows Event Log","EventLog","Running",,,"True","OK","264","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","COM+ Event System","EventSystem","Running",,,"True","OK","332","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","Function Discovery Provider Host","fdPHost","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","Function Discovery Resource Publication","FDResPub","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p",
"DC-SRV01","Windows Font Cache Service","FontCache","Running",,,"True","OK","332","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","Windows Presentation Foundation Font Cache 3.0.0.0","FontCache3.0.0.0","Stopped",,,"False","OK","0","C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe",
"DC-SRV01","Windows Camera Frame Server","FrameServer","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k Camera",
"DC-SRV01","Windows Camera Frame Server Monitor","FrameServerMonitor","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k CameraMonitor",
"DC-SRV01","Group Policy Client","gpsvc","Running",,,"True","OK","1204","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","GraphicsPerfSvc","GraphicsPerfSvc","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup",
"DC-SRV01","Human Interface Device Service","hidserv","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","HV Host Service","HvHost","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","IKE and AuthIP IPsec Keying Modules","IKEEXT","Running",,,"True","OK","1204","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Microsoft Store Install Service","InstallService","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","IP Helper","iphlpsvc","Running",,,"True","OK","1204","C:\Windows\System32\svchost.exe -k NetSvcs -p",
"DC-SRV01","Intersite Messaging","IsmServ","Running",,,"True","OK","1976","C:\Windows\System32\ismserv.exe",
"DC-SRV01","Kerberos Key Distribution Center","Kdc","Running",,,"True","OK","620","C:\Windows\System32\lsass.exe",
"DC-SRV01","Microsoft Key Distribution Service","KdsSvc","Stopped",,,"False","OK","0","C:\Windows\system32\lsass.exe",
"DC-SRV01","CNG Key Isolation","KeyIso","Running",,,"True","OK","620","C:\Windows\system32\lsass.exe",
"DC-SRV01","KDC Proxy Server service (KPS)","KPSSVC","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k KpsSvcGroup",
"DC-SRV01","KtmRm for Distributed Transaction Coordinator","KtmRm","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p",
"DC-SRV01","Server","LanmanServer","Running",,,"True","OK","2016","C:\Windows\System32\svchost.exe -k smbsvcs",
"DC-SRV01","Workstation","LanmanWorkstation","Running",,,"True","OK","752","C:\Windows\System32\svchost.exe -k NetworkService -p",
"DC-SRV01","Geolocation Service","lfsvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Windows License Manager Service","LicenseManager","Running",,,"True","OK","332","C:\Windows\System32\svchost.exe -k LocalService -p",
"DC-SRV01","Link-Layer Topology Discovery Mapper","lltdsvc","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalService -p",
"DC-SRV01","TCP/IP NetBIOS Helper","lmhosts","Running",,,"True","OK","264","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","Local Session Manager","LSM","Running",,,"True","OK","808","C:\Windows\system32\svchost.exe -k DcomLaunch -p",
"DC-SRV01","Downloaded Maps Manager","MapsBroker","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k NetworkService -p",
"DC-SRV01","McpManagementService","McpManagementService","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup",
"DC-SRV01","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","MicrosoftEdgeElevationService","Stopped",,,"False","OK","0","""C:\Program Files (x86)\Microsoft\Edge\Application\126.0.2592.56\elevation_service.exe""",
"DC-SRV01","Windows Defender Firewall","mpssvc","Running",,,"True","OK","1084","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p",
"DC-SRV01","Distributed Transaction Coordinator","MSDTC","Running",,,"True","OK","968","C:\Windows\System32\msdtc.exe",
"DC-SRV01","Microsoft iSCSI Initiator Service","MSiSCSI","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Windows Installer","msiserver","Stopped",,,"False","OK","0","C:\Windows\system32\msiexec.exe /V",
"DC-SRV01","Network Connectivity Assistant","NcaSvc","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k NetSvcs -p",
"DC-SRV01","Network Connection Broker","NcbService","Running",,,"True","OK","480","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Netlogon","Netlogon","Running",,,"True","OK","620","C:\Windows\system32\lsass.exe",
"DC-SRV01","Network Connections","Netman","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Network List Service","netprofm","Running",,,"True","OK","332","C:\Windows\System32\svchost.exe -k LocalService -p",
"DC-SRV01","Network Setup Service","NetSetupSvc","Running",,,"True","OK","1204","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Net.Tcp Port Sharing Service","NetTcpPortSharing","Stopped",,,"False","OK","0","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe",
"DC-SRV01","Microsoft Passport Container","NgcCtnrSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","Microsoft Passport","NgcSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Network Location Awareness","NlaSvc","Running",,,"True","OK","752","C:\Windows\System32\svchost.exe -k NetworkService -p",
"DC-SRV01","Network Store Interface Service","nsi","Running",,,"True","OK","332","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","Active Directory Domain Services","NTDS","Running",,,"True","OK","620","C:\Windows\System32\lsass.exe",
"DC-SRV01","File Replication","NtFrs","Stopped",,,"False","OK","0","C:\Windows\system32\ntfrs.exe",
"DC-SRV01","Program Compatibility Assistant Service","PcaSvc","Running",,,"True","OK","480","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Performance Counter DLL Host","PerfHost","Stopped",,,"False","OK","0","C:\Windows\SysWow64\perfhost.exe",
"DC-SRV01","Performance Logs & Alerts","pla","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p",
"DC-SRV01","Plug and Play","PlugPlay","Running",,,"True","OK","808","C:\Windows\system32\svchost.exe -k DcomLaunch -p",
"DC-SRV01","IPsec Policy Agent","PolicyAgent","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p",
"DC-SRV01","Power","Power","Running",,,"True","OK","808","C:\Windows\system32\svchost.exe -k DcomLaunch -p",
"DC-SRV01","Printer Extensions and Notifications","PrintNotify","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k print",
"DC-SRV01","User Profile Service","ProfSvc","Running",,,"True","OK","1204","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Windows PushToInstall Service","PushToInstall","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Quality Windows Audio Video Experience","QWAVE","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p",
"DC-SRV01","Remote Access Auto Connection Manager","RasAuto","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Remote Access Connection Manager","RasMan","Running",,,"True","OK","2248","C:\Windows\System32\svchost.exe -k netsvcs",
"DC-SRV01","Routing and Remote Access","RemoteAccess","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs",
"DC-SRV01","Remote Registry","RemoteRegistry","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k localService -p",
"DC-SRV01","Radio Management Service","RmSvc","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted",
"DC-SRV01","RPC Endpoint Mapper","RpcEptMapper","Running",,,"True","OK","868","C:\Windows\system32\svchost.exe -k RPCSS -p",
"DC-SRV01","Remote Procedure Call (RPC) Locator","RpcLocator","Stopped",,,"False","OK","0","C:\Windows\system32\locator.exe",
"DC-SRV01","Remote Procedure Call (RPC)","RpcSs","Running",,,"True","OK","868","C:\Windows\system32\svchost.exe -k rpcss -p",
"DC-SRV01","Resultant Set of Policy Provider","RSoPProv","Stopped",,,"False","OK","0","C:\Windows\system32\RSoPProv.exe",
"DC-SRV01","Special Administration Console Helper","sacsvr","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Security Accounts Manager","SamSs","Running",,,"True","OK","620","C:\Windows\system32\lsass.exe",
"DC-SRV01","Smart Card","SCardSvr","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation",
"DC-SRV01","Smart Card Device Enumeration Service","ScDeviceEnum","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted",
"DC-SRV01","Task Scheduler","Schedule","Running",,,"True","OK","1204","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Smart Card Removal Policy","SCPolicySvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs",
"DC-SRV01","Secondary Logon","seclogon","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Windows Security Service","SecurityHealthService","Stopped",,,"False","OK","0","C:\Windows\system32\SecurityHealthService.exe",
"DC-SRV01","Payments and NFC/SE Manager","SEMgrSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","System Event Notification Service","SENS","Running",,,"True","OK","1204","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Windows Defender Advanced Threat Protection Service","Sense","Stopped",,,"False","OK","0","""C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe""",
"DC-SRV01","Sensor Data Service","SensorDataService","Stopped",,,"False","OK","0","C:\Windows\System32\SensorDataService.exe",
"DC-SRV01","Sensor Service","SensorService","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Sensor Monitoring Service","SensrSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p",
"DC-SRV01","Remote Desktop Configuration","SessionEnv","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","System Guard Runtime Monitor Broker","SgrmBroker","Stopped",,,"False","OK","0","C:\Windows\system32\SgrmBroker.exe",
"DC-SRV01","Internet Connection Sharing (ICS)","SharedAccess","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Shell Hardware Detection","ShellHWDetection","Running",,,"True","OK","1204","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Shared PC Account Manager","shpamsvc","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Microsoft Storage Spaces SMP","smphost","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k smphost",
"DC-SRV01","SNMP Trap","SNMPTRAP","Stopped",,,"False","OK","0","C:\Windows\System32\snmptrap.exe",
"DC-SRV01","Print Spooler","Spooler","Running",,,"True","OK","1436","C:\Windows\System32\spoolsv.exe",
"DC-SRV01","Software Protection","sppsvc","Running",,,"True","OK","212","C:\Windows\system32\sppsvc.exe",
"DC-SRV01","SSDP Discovery","SSDPSRV","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p",
"DC-SRV01","OpenSSH Authentication Agent","ssh-agent","Stopped",,,"False","OK","0","C:\Windows\System32\OpenSSH\ssh-agent.exe",
"DC-SRV01","Secure Socket Tunneling Protocol Service","SstpSvc","Running",,,"True","OK","332","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","State Repository Service","StateRepository","Running",,,"True","OK","8","C:\Windows\system32\svchost.exe -k appmodel -p",
"DC-SRV01","Windows Image Acquisition (WIA)","StiSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k imgsvc",
"DC-SRV01","Storage Service","StorSvc","Running",,,"True","OK","480","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Spot Verifier","svsvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Microsoft Software Shadow Copy Provider","swprv","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k swprv",
"DC-SRV01","SysMain","SysMain","Running",,,"True","OK","480","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","System Events Broker","SystemEventsBroker","Running",,,"True","OK","808","C:\Windows\system32\svchost.exe -k DcomLaunch -p",
"DC-SRV01","Touch Keyboard and Handwriting Panel Service","TabletInputService","Running",,,"True","OK","480","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Telephony","tapisrv","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k NetworkService -p",
"DC-SRV01","Remote Desktop Services","TermService","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k termsvcs",
"DC-SRV01","Themes","Themes","Running",,,"True","OK","1204","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Storage Tiers Management","TieringEngineService","Stopped",,,"False","OK","0","C:\Windows\system32\TieringEngineService.exe",
"DC-SRV01","Time Broker","TimeBrokerSvc","Running",,,"True","OK","264","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","Web Account Manager","TokenBroker","Running",,,"True","OK","1204","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Distributed Link Tracking Client","TrkWks","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Windows Modules Installer","TrustedInstaller","Running",,,"True","OK","5816","C:\Windows\servicing\TrustedInstaller.exe",
"DC-SRV01","Auto Time Zone Updater","tzautoupdate","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","User Access Logging Service","UALSVC","Running",,,"True","OK","480","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","User Experience Virtualization Service","UevAgentService","Stopped",,,"False","OK","0","C:\Windows\system32\AgentService.exe",
"DC-SRV01","Remote Desktop Services UserMode Port Redirector","UmRdpService","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","UPnP Device Host","upnphost","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p",
"DC-SRV01","User Manager","UserManager","Running",,,"True","OK","1204","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Update Orchestrator Service","UsoSvc","Running",,,"True","OK","1204","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Credential Manager","VaultSvc","Stopped",,,"False","OK","0","C:\Windows\system32\lsass.exe",
"DC-SRV01","Virtual Disk","vds","Running",,,"True","OK","2700","C:\Windows\System32\vds.exe",
"DC-SRV01","VMware Alias Manager and Ticket Service","VGAuthService","Running",,,"True","OK","2080","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe""",
"DC-SRV01","VMware SVGA Helper Service","VM3DService","Running",,,"True","OK","2104","C:\Windows\system32\vm3dservice.exe",
"DC-SRV01","Hyper-V Guest Service Interface","vmicguestinterface","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Hyper-V Heartbeat Service","vmicheartbeat","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k ICService -p",
"DC-SRV01","Hyper-V Data Exchange Service","vmickvpexchange","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Hyper-V Guest Shutdown Service","vmicshutdown","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Hyper-V Time Synchronization Service","vmictimesync","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","Hyper-V PowerShell Direct Service","vmicvmsession","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Hyper-V Volume Shadow Copy Requestor","vmicvss","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","VMware Tools","VMTools","Running",,,"True","OK","2124","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe""",
"DC-SRV01","Volume Shadow Copy","VSS","Stopped",,,"False","OK","0","C:\Windows\system32\vssvc.exe",
"DC-SRV01","Windows Time","W32Time","Running",,,"True","OK","1020","C:\Windows\system32\svchost.exe -k LocalService",
"DC-SRV01","W3C Logging Service","w3logsvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k apphost",
"DC-SRV01","Windows Update Medic Service","WaaSMedicSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k wusvcs -p",
"DC-SRV01","WalletService","WalletService","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k appmodel -p",
"DC-SRV01","Warp JIT Service","WarpJITSvc","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted",
"DC-SRV01","Windows Process Activation Service","WAS","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k iissvcs",
"DC-SRV01","Windows Biometric Service","WbioSrvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k WbioSvcGroup",
"DC-SRV01","Windows Connection Manager","Wcmsvc","Running",,,"True","OK","1280","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","Diagnostic Service Host","WdiServiceHost","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalService -p",
"DC-SRV01","Diagnostic System Host","WdiSystemHost","Running",,,"True","OK","480","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Microsoft Defender Antivirus Network Inspection Service","WdNisSvc","Stopped",,,"False","OK","0","""C:\Program Files\Windows Defender\NisSrv.exe""",
"DC-SRV01","Windows Event Collector","Wecsvc","Running",,,"True","OK","752","C:\Windows\system32\svchost.exe -k NetworkService -p",
"DC-SRV01","Windows Encryption Provider Host Service","WEPHOSTSVC","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k WepHostSvcGroup",
"DC-SRV01","Problem Reports Control Panel Support","wercplsupport","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p",
