"HostName","OwnerDomain","Owner","UserSID","IsLocalUser","ProcessId","CommandLine","Description","Name","SessionId","CreationDate","Error"
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4152","""C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca","StartMenuExperienceHost.exe","StartMenuExperienceHost.exe","1","20240506140917.901722-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4288","C:\Windows\System32\RuntimeBroker.exe -Embedding","RuntimeBroker.exe","RuntimeBroker.exe","1","20240506140918.119709-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4452","""C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca","SearchApp.exe","SearchApp.exe","1","20240506140918.477474-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4544","C:\Windows\System32\RuntimeBroker.exe -Embedding","RuntimeBroker.exe","RuntimeBroker.exe","1","20240506140918.827654-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4776","C:\Windows\System32\RuntimeBroker.exe -Embedding","RuntimeBroker.exe","RuntimeBroker.exe","1","20240506140919.843446-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4944","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr","vmtoolsd.exe","vmtoolsd.exe","1","20240506140929.574265-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","352","""C:\Tools\DesktopInfo\DesktopInfo64.exe"" ","DesktopInfo64.exe","DesktopInfo64.exe","1","20240506140930.835629-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4656","""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca","ShellExperienceHost.exe","ShellExperienceHost.exe","1","20240506140931.188240-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","3968","C:\Windows\System32\RuntimeBroker.exe -Embedding","RuntimeBroker.exe","RuntimeBroker.exe","1","20240506140931.431589-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4672","C:\Windows\system32\ApplicationFrameHost.exe -Embedding","ApplicationFrameHost.exe","ApplicationFrameHost.exe","1","20240506140956.007092-420",
