"HostName","DisplayName","Name","State","UserName","InstallDate","Started","Status","ProcessId","PathName"
"DC-SRV01","Storage Service","StorSvc","Running","LocalSystem",,"True","OK","364","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Spot Verifier","svsvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Microsoft Software Shadow Copy Provider","swprv","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k swprv"
"DC-SRV01","SysMain","SysMain","Running","LocalSystem",,"True","OK","364","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","System Events Broker","SystemEventsBroker","Running","LocalSystem",,"True","OK","820","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DC-SRV01","Touch Keyboard and Handwriting Panel Service","TabletInputService","Running","LocalSystem",,"True","OK","364","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Telephony","tapisrv","Stopped","NT AUTHORITY\NetworkService",,"False","OK","0","C:\Windows\System32\svchost.exe -k NetworkService -p"
"DC-SRV01","Remote Desktop Services","TermService","Stopped","NT Authority\NetworkService",,"False","OK","0","C:\Windows\System32\svchost.exe -k termsvcs"
"DC-SRV01","Themes","Themes","Running","LocalSystem",,"True","OK","1208","C:\Windows\System32\svchost.exe -k netsvcs -p"
"DC-SRV01","Storage Tiers Management","TieringEngineService","Stopped","localSystem",,"False","OK","0","C:\Windows\system32\TieringEngineService.exe"
"DC-SRV01","Time Broker","TimeBrokerSvc","Running","NT AUTHORITY\LocalService",,"True","OK","348","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DC-SRV01","Web Account Manager","TokenBroker","Running","LocalSystem",,"True","OK","1208","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Distributed Link Tracking Client","TrkWks","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Windows Modules Installer","TrustedInstaller","Stopped","localSystem",,"False","OK","0","C:\Windows\servicing\TrustedInstaller.exe"
"DC-SRV01","Auto Time Zone Updater","tzautoupdate","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalService -p"
"DC-SRV01","User Access Logging Service","UALSVC","Running","LocalSystem",,"True","OK","364","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","User Experience Virtualization Service","UevAgentService","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\AgentService.exe"
"DC-SRV01","Remote Desktop Services UserMode Port Redirector","UmRdpService","Stopped","localSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","UPnP Device Host","upnphost","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"DC-SRV01","User Manager","UserManager","Running","LocalSystem",,"True","OK","1208","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Update Orchestrator Service","UsoSvc","Running","LocalSystem",,"True","OK","1208","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Credential Manager","VaultSvc","Running","LocalSystem",,"True","OK","632","C:\Windows\system32\lsass.exe"
"DC-SRV01","Virtual Disk","vds","Running","LocalSystem",,"True","OK","2612","C:\Windows\System32\vds.exe"
"DC-SRV01","VMware Alias Manager and Ticket Service","VGAuthService","Running","LocalSystem",,"True","OK","2112","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"""
"DC-SRV01","VMware SVGA Helper Service","VM3DService","Running","LocalSystem",,"True","OK","2092","C:\Windows\system32\vm3dservice.exe"
"DC-SRV01","Hyper-V Guest Service Interface","vmicguestinterface","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Hyper-V Heartbeat Service","vmicheartbeat","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k ICService -p"
"DC-SRV01","Hyper-V Data Exchange Service","vmickvpexchange","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Hyper-V Guest Shutdown Service","vmicshutdown","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Hyper-V Time Synchronization Service","vmictimesync","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DC-SRV01","Hyper-V PowerShell Direct Service","vmicvmsession","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Hyper-V Volume Shadow Copy Requestor","vmicvss","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","VMware Tools","VMTools","Running","LocalSystem",,"True","OK","2104","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"""
"DC-SRV01","Volume Shadow Copy","VSS","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\vssvc.exe"
"DC-SRV01","Windows Time","W32Time","Running","NT AUTHORITY\LocalService",,"True","OK","400","C:\Windows\system32\svchost.exe -k LocalService"
"DC-SRV01","W3C Logging Service","w3logsvc","Stopped","localSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k apphost"
"DC-SRV01","Windows Update Medic Service","WaaSMedicSvc","Running","LocalSystem",,"True","OK","4012","C:\Windows\system32\svchost.exe -k wusvcs -p"
"DC-SRV01","WalletService","WalletService","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k appmodel -p"
"DC-SRV01","Warp JIT Service","WarpJITSvc","Stopped","NT Authority\LocalService",,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
